epsilon_r,lambda_tf,mu_minus,operational status
4.75,5.6,-0.3675,1
7.45,5.1,-0.2325,1
7,5.65,-0.2925,1
5.5,5.8,-0.32,1
9.7,5.75,-0.2,1
8.1,4.7,-0.1975,1
6.55,5.45,-0.2975,1
4.75,5.55,-0.4075,1
4.2,4.9,-0.465,1
4.95,5.65,-0.385,1
6,4.95,-0.2675,1
6.65,5.55,-0.2575,1
6.85,6.05,-0.2925,1
7.9,5,-0.2425,1
7.1,5.2,-0.2425,1
6.4,5.2,-0.295,1
6,5.55,-0.315,1
7.7,5.75,-0.25,1
7.7,5.15,-0.2,1
8.2,4.9,-0.1825,1
8.3,5.85,-0.2425,1
5.05,5.1,-0.39,1
7.2,5.9,-0.2675,1
4.95,5.5,-0.41,1
5.85,5.3,-0.3375,1
8.15,5,-0.2075,1
7.85,4.9,-0.2325,1
6.7,6,-0.2575,1
7.2,5.95,-0.255,1
4.55,4.9,-0.3825,1
5.05,5.15,-0.345,1
6.15,6.1,-0.3475,1
9.35,5.25,-0.175,1
9.35,5.6,-0.21,1
7.65,5.2,-0.2325,1
8.25,5.7,-0.25,1
8.05,5.05,-0.215,1
6.15,5.45,-0.335,1
8.6,5.4,-0.2175,1
7.95,5.8,-0.22,1
8.95,5.8,-0.23,1
6.3,5.4,-0.255,1
5.55,4.9,-0.2675,1
6,4.85,-0.245,1
8.2,5.3,-0.1975,1
5.25,5.6,-0.3725,1
5.25,4.85,-0.3675,1
5.3,5.5,-0.3275,1
6.15,4.75,-0.24,1
8.35,4.95,-0.2225,1
6.5,5.85,-0.2675,1
6.65,5.2,-0.28,1
7.15,6.05,-0.28,1
6,4.7,-0.265,1
8.75,5.75,-0.2375,1
5.6,4.8,-0.2925,1
9.7,5.15,-0.18,1
4.2,4.8,-0.4425,1
9.75,4.95,-0.185,1
9.35,4.9,-0.1925,1
7.6,5.7,-0.265,1
7.1,5.3,-0.2375,1
7.45,5.65,-0.22,1
9.4,5.45,-0.1975,1
6.35,5.8,-0.275,1
4.9,5.15,-0.3525,1
9.85,5.5,-0.1975,1
7.3,5.35,-0.24,1
9.35,5.2,-0.175,1
4.6,5.6,-0.42,1
4.9,5.7,-0.3975,1
4.6,5.65,-0.4125,1
7.4,4.95,-0.22,1
6.5,4.95,-0.26,1
7.7,5.95,-0.235,1
5.35,5.65,-0.385,1
7.1,5.15,-0.275,1
