epsilon_r,lambda_tf,mu_minus,operational status
5.75,4.8,-0.3025,1
7.65,6.1,-0.2675,1
2.75,2.5,-0.3475,1
9.45,6.85,-0.23,1
5.25,7.7,-0.4375,1
8.25,5.25,-0.2275,1
4.7,7.75,-0.49,1
3.55,4.1,-0.4375,1
5.4,7.45,-0.4175,1
4.4,2.75,-0.2275,1
5.6,7.2,-0.395,1
8.5,5.2,-0.2225,1
6.45,4.15,-0.245,1
4,4.75,-0.4275,1
5.85,8.2,-0.4075,1
4.7,4.75,-0.3725,1
7.5,4.05,-0.2175,1
5.5,6.1,-0.38,1
8,7.75,-0.295,1
6.2,6.95,-0.3625,1
5,2.65,-0.22,1
9.8,7.55,-0.24,1
3.95,2.9,-0.255,1
6.2,5.65,-0.3075,1
5.5,9.95,-0.465,1
6.15,2.85,-0.1625,1
3,2.55,-0.3325,1
6.85,3.9,-0.225,1
7.4,4.9,-0.25,1
7.15,6,-0.2925,1
5.55,2.5,-0.17,1
3.9,2.55,-0.245,1
4.6,5.15,-0.415,1
6.65,2.7,-0.165,1
5.9,5.65,-0.34,1
3.5,2.7,-0.32,1
9.3,6.1,-0.2175,1
9.55,5,-0.19,1
5.3,8.6,-0.4525,1
7.55,2.55,-0.1275,1
9.8,5.4,-0.1975,1
4.05,2.85,-0.28,1
9.75,9.4,-0.255,1
6.4,9.35,-0.3925,1
4.7,2.45,-0.215,1
8.2,6.6,-0.2675,1
3.6,2.7,-0.26,1
4.35,4.3,-0.38,1
8.1,7.6,-0.2875,1
6.8,5.1,-0.2725,1
4.2,5.8,-0.465,1
8.45,10,-0.3,1
5.15,4.7,-0.34,1
4.15,4.75,-0.4225,1
4.65,5.1,-0.41,1
6.35,6.95,-0.3575,1
2.95,2.6,-0.35,1
5.4,7.4,-0.4275,1
6.5,6.7,-0.3275,1
4.65,6.3,-0.4525,1
3.6,4.25,-0.47,1
6.5,9.25,-0.385,1
4.8,5.65,-0.4125,1
3.05,2.5,-0.3275,1
9.8,6.35,-0.215,1
9.35,7.3,-0.2375,1
3.5,3,-0.3375,1
4.9,5.6,-0.415,1
9.3,3,-0.13,1
6.05,2.9,-0.19,1
7.85,2.6,-0.13,1
7.25,6.35,-0.3025,1
9.2,9,-0.2675,1
5.2,3.85,-0.29,1
7.25,4.45,-0.2275,1
5.25,6.3,-0.4025,1
9.3,2.7,-0.1075,1
4,5.3,-0.46,1
3.9,3.4,-0.3575,1
7.75,4.65,-0.22,1
5.4,5.2,-0.345,1
9.95,7.15,-0.2225,1
3.9,5.05,-0.46,1
7.05,4.9,-0.26,1
5.55,4.3,-0.3025,1
4.5,5.95,-0.4525,1
5.15,8.2,-0.455,1
6.6,5.2,-0.275,1
5.8,4.1,-0.2775,1
3.2,2.55,-0.275,1
6.5,3.45,-0.2175,1
5.95,3.9,-0.26,1
9.95,6.3,-0.205,1
5.2,6.6,-0.425,1
9.25,5.55,-0.21,1
4.7,6.75,-0.4775,1
8.1,2.9,-0.1375,1
9.25,5.15,-0.2,1
7.7,4.7,-0.22,1
6.65,6.5,-0.3225,1
5.25,5.3,-0.3575,1
4.45,2.5,-0.195,1
3.8,4.35,-0.4525,1
7.8,6.1,-0.27,1
5.25,8.3,-0.4525,1
7.3,7.9,-0.325,1
5.65,3.5,-0.255,1
4.95,8.45,-0.485,1
5.2,2.9,-0.2,1
8.7,9.4,-0.29,1
7.4,5.15,-0.2475,1
7.4,5.3,-0.2475,1
3.7,3.25,-0.365,1
4.75,3.85,-0.3225,1
6.95,7.05,-0.3175,1
9.85,6.85,-0.23,1
8.8,4.35,-0.1875,1
5.25,8.9,-0.465,1
8,2.9,-0.1275,1
7.45,3.6,-0.1975,1
7.5,5.7,-0.275,1
5.95,4.6,-0.295,1
7.2,7.35,-0.32,1
5.8,7.65,-0.4,1
9.2,2.75,-0.1175,1
9.7,4.8,-0.185,1
3.1,2.55,-0.31,1
4.95,6,-0.415,1
5.85,5.35,-0.315,1
4.95,3.95,-0.31,1
6.8,5.4,-0.275,1
9.25,2.5,-0.11,1
5.25,5.6,-0.3725,1
5.15,3.85,-0.295,1
7.4,6.15,-0.2725,1
6.8,2.7,-0.1425,1
6.8,8.15,-0.345,1
6.5,2.8,-0.1575,1
7.8,6.95,-0.2775,1
9,3.85,-0.1675,1
7.9,7.15,-0.2925,1
8,6.7,-0.2775,1
3.95,2.4,-0.225,1
6.7,9.8,-0.38,1
6,7.3,-0.3875,1
4.35,2.45,-0.205,1
9.9,4.35,-0.17,1
4.45,6.15,-0.4825,1
8.25,6.1,-0.2575,1
6.7,2.8,-0.16,1
5.85,7.25,-0.3975,1
3.95,3,-0.3,1
5.3,7.25,-0.43,1
9.4,5.9,-0.2125,1
6.1,5.2,-0.3075,1
5.05,2.6,-0.2125,1
5.85,5.15,-0.325,1
5.9,9.6,-0.4275,1
6.75,7.25,-0.3375,1
6.1,6.7,-0.3675,1
9,6.3,-0.235,1
4.65,7.25,-0.495,1
7.15,2.8,-0.135,1
7.5,7.1,-0.3075,1
6.95,5.4,-0.2675,1
7.05,6.85,-0.305,1
8.2,7.2,-0.275,1
8.15,5.65,-0.2425,1
3.65,2.65,-0.2875,1
3.45,2.85,-0.3,1
6.95,5.3,-0.2775,1
10,4.8,-0.185,1
3.7,3.85,-0.42,1
6.1,5.75,-0.3325,1
6.95,5.15,-0.26,1
4.7,5.3,-0.4075,1
4.2,5.2,-0.4375,1
9.15,7,-0.24,1
4.55,6.45,-0.4575,1
9.65,7.05,-0.235,1
5.3,3.45,-0.2675,1
8.6,4.7,-0.2,1
6,4.3,-0.28,1
7.1,7.6,-0.325,1
