epsilon_r,lambda_tf,mu_minus,operational status
6,7.65,-0.3775,1
6.9,5.65,-0.275,1
7.35,3.05,-0.1625,1
6.15,8,-0.3775,1
5.45,7.25,-0.4025,1
6.2,8.95,-0.3875,1
8.2,8.8,-0.295,1
7.35,4.25,-0.215,1
3.95,3.65,-0.355,1
5.8,9.8,-0.435,1
7.65,5.65,-0.2475,1
5.65,7.1,-0.385,1
5.65,7.95,-0.415,1
4.4,4.2,-0.355,1
5.15,8.7,-0.4625,1
7.75,3.8,-0.185,1
6.35,6.95,-0.2475,1
7.8,5,-0.23,1
7.4,9.6,-0.3425,1
9.55,5.1,-0.19,1
7.85,7.55,-0.2125,1
5.45,6.25,-0.3775,1
5.55,9.55,-0.4475,1
6.95,9.7,-0.365,1
9.15,9.35,-0.2675,1
5.55,3.75,-0.2575,1
7.25,7.25,-0.31,1
4.9,7,-0.4475,1
8.6,8.15,-0.275,1
5.75,2.3,-0.15,1
9.35,7.4,-0.2425,1
5.95,9.2,-0.4175,1
9.1,7,-0.235,1
3.05,2.85,-0.36,1
5.05,4.3,-0.3175,1
6.8,5.35,-0.275,1
7.3,7.25,-0.3,1
7.5,6.6,-0.2825,1
7.15,7.1,-0.31,1
5.6,4.95,-0.31,1
5.2,4.6,-0.3275,1
8.3,5.65,-0.2325,1
6.75,9.8,-0.375,1
6.7,5.2,-0.27,1
8.1,7,-0.195,1
9.1,4.65,-0.1875,1
6.65,3.5,-0.205,1
6.1,6.55,-0.34,1
4.05,5.4,-0.465,1
8.5,9.3,-0.2925,1
5.15,3.55,-0.26,1
6.1,5.35,-0.3075,1
6.05,3.75,-0.2375,1
8.15,5.35,-0.23,1
4.8,6.65,-0.4425,1
6.95,4.5,-0.235,1
8.2,5.65,-0.2325,1
9.05,5.25,-0.205,1
7.2,4.8,-0.2425,1
5.85,6.05,-0.3425,1
5,6.25,-0.4025,1
