epsilon_r,lambda_tf,mu_minus,operational status
4.2,3.1,-0.29,1
9.9,3.6,-0.1375,1
4.9,3.75,-0.285,1
6.35,7.75,-0.3175,1
5.4,9.85,-0.41,1
7.25,3.4,-0.18,1
3.4,2.15,-0.2475,1
6.75,9.15,-0.32,1
8.9,3.6,-0.1525,1
7.4,8.45,-0.28,1
8.5,9.85,-0.25,1
