epsilon_r,lambda_tf,mu_minus,operational status
6.15,3.55,-0.2325,1
7.1,1.8,-0.1075,1
3.9,5.8,-0.5,1
5.2,7.7,-0.295,1
8.8,5.95,-0.225,1
9.95,8.15,-0.2275,1
5.95,9.7,-0.405,1
7.55,9.4,-0.2225,1
5.45,8.85,-0.4275,1
4.9,3.3,-0.275,1
9.9,9.1,-0.1675,1
7.75,2.55,-0.14,1
8.55,5.95,-0.23,1
4.9,9.55,-0.49,1
4.8,7,-0.4375,1
6,8.55,-0.3875,1
6.1,10,-0.405,1
8.55,9.65,-0.2825,1
5.15,5.85,-0.38,1
7.95,8.7,-0.295,1
6.05,5.35,-0.31,1
7.15,6.85,-0.2975,1
7.75,6.55,-0.27,1
6.2,8.15,-0.365,1
7.05,5.7,-0.2725,1
8.05,3.35,-0.17,1
9.3,7.1,-0.2275,1
5.9,8.7,-0.3975,1
3.65,4.75,-0.465,1
5.4,9.9,-0.3175,1
8.9,4.5,-0.185,1
9.5,8.6,-0.17,1
9.45,4.6,-0.18,1
9.95,6.45,-0.2025,1
5.5,5.9,-0.3575,1
6.1,8.8,-0.2675,1
4.1,5.9,-0.48,1
5.6,7.6,-0.39,1
7.05,7.35,-0.3125,1
6.15,9.6,-0.4,1
7.9,5.2,-0.2275,1
7.5,8.55,-0.215,1
